n_clusters,iteration,kdistance,distance
2,0,18.451511226751023,18.224030887034814
2,1,5.077015063100245,5.707979761303243
2,2,6.28559887911605,5.855880703509967
2,3,5.377060043856315,5.305570716186864
2,4,24.15398977343337,23.988792356147012
2,5,17.6726732889962,16.436231828226834
2,6,23.420999458749314,21.56028109585183
2,7,18.685613742554285,18.092856377270493
2,8,13.074339969253598,13.047759052794056
2,9,12.470993258653994,12.431460563079986
2,10,8.688344451167175,9.653816329243112
2,11,13.955535481128075,13.463637533674742
2,12,21.5456739216578,20.812710329025563
2,13,15.745956702445612,14.174545628881651
2,14,10.751727991156667,9.821810804291808
2,15,12.975962531579441,12.908904793477806
2,16,1.9543297766923369,1.2758615144242877
2,17,12.458669724644263,10.220909409391057
2,18,15.20628392489926,14.385548728882242
2,19,25.380104094649003,21.79766658291791
2,20,20.258481856814715,18.92189627836059
2,21,9.117180801371465,6.876925063783053
2,22,20.053996365535188,19.79163635132644
2,23,10.233388769009483,11.125561337530195
2,24,10.869700495935724,10.982083710763042
2,25,3.6825993108868773,5.188609188646537
2,26,26.08561671652014,21.28720328404554
2,27,12.665349639227133,10.424717842211187
2,28,18.333986294159473,16.234407421826667
2,29,14.350311010406593,11.615954303044099
2,30,6.831233458478495,8.331750272740472
2,31,7.6644387780914185,7.60883024040423
2,32,10.034870164764335,10.58739209432711
2,33,1.6257284650783437,3.4334961259495698
2,34,28.93377381834689,27.890065863144294
2,35,22.289265339379465,19.748321056368482
2,36,15.401948977245706,15.572678256346327
2,37,11.801252144596562,11.731466233201733
2,38,4.061581297950031,4.1498851745974275
2,39,12.590091259753223,10.673052123942341
2,40,21.87173534459885,20.11104080746815
2,41,15.112025440077602,15.137030832686383
2,42,15.710196589726937,14.953988912500188
2,43,9.198363218278658,9.133504882973789
2,44,2.4442281820816545,4.640152103917197
2,45,8.766728100308223,8.900978045275746
2,46,24.332786709045017,23.59052032980642
2,47,16.960978725057043,14.057205265079926
2,48,22.06480152438778,16.98453368973079
2,49,20.288616894880683,19.234838767198426
3,0,17.34028738414334,12.200472635959699
3,1,20.021231907326992,17.346455048053134
3,2,19.258956352413993,18.431878300164108
3,3,26.54615650311148,25.826977189109712
3,4,41.04956749038017,39.727220731546524
3,5,17.52584211286458,20.479591651390734
3,6,26.365590767098006,26.350789912085936
3,7,32.541171153570744,32.2866856221261
3,8,30.893458584439315,29.865987468806452
3,9,23.605587158700494,23.394150729891997
3,10,11.391025019871066,10.440790927420403
3,11,22.56493632941172,21.624400067998415
3,12,7.504170881723983,10.263963100023643
3,13,39.396824542097875,39.299498250264385
3,14,24.93959030905219,23.89215336594218
3,15,45.31602681370762,34.370920619454125
3,16,5.11167488434753,6.31346595514901
3,17,12.957537674808453,12.888775616827903
3,18,25.566804943328883,24.8677367353421
3,19,37.5320752741374,34.652861787252135
3,20,29.478927749882175,23.71944443085421
3,21,18.406005648696958,18.20695343384811
3,22,29.078537456970267,33.227352089545974
3,23,19.728899506928432,21.965769777265095
3,24,22.902814651566736,22.408108571340044
3,25,20.250376119301755,18.747613033278203
3,26,27.45416149102323,27.347927778003253
