,focal_bird_id,split,distance,kdistance,n_syll,non_focal_birds,range_0_min,range_1_min,range_0_max,range_1_max
41,28,0,31.6790141611474,32.18900567153082,5,[ 0  1  2  5  9 10 13 16 17 18 20 22 27 29 30],-8.324288,21.734108,-8.324288,21.734108
42,24,1,22.23811310100626,23.077069412074266,4,[ 1  2  4  5  6  7  8 12 14 19 23 25 26 29 30],-8.324288,21.734108,-8.324288,21.734108
43,16,1,13.42770698491197,13.572967129612767,3,[ 4  9 10 13 14 15 18 19 20 21 22 23 25 26 29],-8.324288,21.734108,-8.324288,21.734108
44,13,1,42.159938025419265,42.32515001980434,7,[ 0  3  5  7  8 14 15 16 19 20 24 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
45,2,1,34.390769882492854,40.273783225278926,6,[ 3  4  5  6  7  8  9 11 13 16 20 21 22 23 26],-8.324288,21.734108,-8.324288,21.734108
46,27,0,26.603484051679864,25.954808299639705,4,[ 0  5  8  9 10 11 15 16 18 20 21 22 24 28 29],-8.324288,21.734108,-8.324288,21.734108
47,2,0,39.79211477649262,44.02760970142536,6,[ 0  1 10 12 14 15 17 18 19 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
48,10,1,37.916312059346616,42.456099132555075,5,[ 8  9 13 15 17 20 21 22 23 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
49,21,0,36.098125067838076,36.04459268285522,6,[ 2  3  5  9 14 15 18 19 20 22 23 24 25 27 28],-8.324288,21.734108,-8.324288,21.734108
50,21,1,30.403949524214685,30.27126761381861,6,[ 0  1  4  6  7  8 10 11 12 13 16 17 26 29 30],-8.324288,21.734108,-8.324288,21.734108
51,12,0,12.688636565984696,14.422862172564136,3,[ 0  1  5  6  9 10 11 13 15 19 20 21 22 24 28],-8.324288,21.734108,-8.324288,21.734108
52,14,1,27.74577359632653,26.71635513629954,4,[ 0  1  6  8 11 16 18 19 20 21 22 24 25 26 28],-8.324288,21.734108,-8.324288,21.734108
53,0,1,43.18178850965664,48.53219901995273,6,[ 2  3  4  7  8 11 15 19 20 21 22 23 26 27 30],-8.324288,21.734108,-8.324288,21.734108
54,16,0,18.93676714397563,19.15641479213533,3,[ 0  1  2  3  5  6  7  8 11 12 17 24 27 28 30],-8.324288,21.734108,-8.324288,21.734108
55,6,0,26.936095697707064,27.84413134114751,5,[ 0  4  5  7  8 16 19 20 22 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
56,11,0,26.810448817919955,29.510557783955967,5,[ 1  4  7 10 13 14 19 20 21 23 25 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
57,30,0,31.94655752067793,32.05742920568532,5,[ 1  6  7  9 10 11 12 15 17 19 20 21 24 26 27],-8.324288,21.734108,-8.324288,21.734108
58,20,0,19.023781373884862,20.09240076266929,4,[ 1  2  3  8  9 10 11 12 15 17 18 19 22 23 26],-8.324288,21.734108,-8.324288,21.734108
59,11,1,20.94689335469846,31.861053194835723,5,[ 0  2  3  5  6  8  9 12 15 16 17 18 22 24 29],-8.324288,21.734108,-8.324288,21.734108
60,1,1,48.7464172369439,52.31098762387519,5,[ 0  2  3  5  9 10 11 12 18 19 20 21 24 25 29],-8.324288,21.734108,-8.324288,21.734108
61,1,0,36.29658069570394,37.482638329473076,5,[ 4  6  7  8 13 14 15 16 17 22 23 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
