bird1,bird2,iteration,path_length1,path_length2,path_length_diff,n_syll1,n_syll2,n_syll_diff,path_length_bysyll1,path_length_bysyll2,path_length_bysyll_diff
0,1,0,52.07492791968328,48.70314222056595,-3.371785699117332,6,5,-1,8.679154653280547,9.74062844411319,1.0614737908326433
0,1,1,37.75420950444165,35.64070287135088,-2.113506633090765,6,5,-1,6.2923682507402745,7.128140574270176,0.8357723235299019
0,1,2,59.10625743608603,41.90485308618464,-17.201404349901395,6,5,-1,9.851042906014339,8.380970617236928,-1.470072288777411
0,1,3,35.39614254776401,43.366839216460285,7.970696668696277,6,5,-1,5.899357091294001,8.673367843292057,2.7740107519980564
0,1,4,36.718159389120046,34.48824735798707,-2.229912031132976,6,5,-1,6.119693231520007,6.897649471597414,0.7779562400774065
0,1,5,51.55097414944508,31.944626744150945,-19.606347405294137,6,5,-1,8.591829024907513,6.388925348830189,-2.202903676077324
0,1,6,38.3932697258851,32.57083097773898,-5.822438748146119,6,5,-1,6.398878287647516,6.514166195547796,0.11528790790027976
0,1,7,46.31172888230051,25.485579685011977,-20.82614919728853,6,5,-1,7.718621480383418,5.097115937002395,-2.621505543381023
0,1,8,40.44737525775759,50.11734251406092,9.66996725630333,6,5,-1,6.741229209626265,10.023468502812184,3.282239293185919
0,1,9,46.40471501096194,37.53067671600149,-8.87403829496045,6,5,-1,7.734119168493656,7.506135343200297,-0.22798382529335903
0,1,10,54.63704232709952,25.608135565971143,-29.02890676112838,6,5,-1,9.106173721183254,5.121627113194228,-3.9845466079890253
0,1,11,52.29746469871318,41.201807972921,-11.095656725792175,6,5,-1,8.716244116452197,8.2403615945842,-0.4758825218679963
0,1,12,44.1671884262409,37.81938313657471,-6.347805289666191,6,5,-1,7.36119807104015,7.563876627314942,0.20267855627479214
0,1,13,38.74684761207913,29.54964033810444,-9.19720727397469,6,5,-1,6.457807935346522,5.909928067620887,-0.5478798677256345
0,1,14,40.36287241066622,47.05094987711109,6.688077466444867,6,5,-1,6.727145401777704,9.410189975422217,2.683044573644513
0,1,15,59.05744580499939,29.275425497006133,-29.782020307993257,6,5,-1,9.842907634166565,5.855085099401227,-3.987822534765338
0,1,16,41.315780018304544,35.35578849652798,-5.9599915217765655,6,5,-1,6.885963336384091,7.071157699305596,0.18519436292150537
0,1,17,45.36465061833543,36.94454725307991,-8.420103365255521,6,5,-1,7.560775103055906,7.388909450615982,-0.1718656524399238
0,1,18,44.519281894553664,32.07252316412214,-12.446758730431526,6,5,-1,7.419880315758944,6.4145046328244275,-1.0053756829345168
0,1,19,41.922835984054416,32.25428595107259,-9.668550032981827,6,5,-1,6.987139330675736,6.450857190214518,-0.5362821404612177
0,2,0,52.07492791968328,35.87218653072208,-16.2027413889612,6,6,0,8.679154653280547,5.978697755120347,-2.7004568981601995
0,2,1,37.75420950444165,31.03018653909533,-6.724022965346318,6,6,0,6.2923682507402745,5.171697756515888,-1.1206704942243864
0,2,2,59.10625743608603,46.21077051336498,-12.895486922721055,6,6,0,9.851042906014339,7.701795085560829,-2.1492478204535095
0,2,3,35.39614254776401,47.50308355527052,12.106941007506514,6,6,0,5.899357091294001,7.917180592545087,2.017823501251086
0,2,4,36.718159389120046,48.85333744069086,12.135178051570811,6,6,0,6.119693231520007,8.142222906781809,2.0225296752618016
0,2,5,51.55097414944508,52.64071808531461,1.089743935869528,6,6,0,8.591829024907513,8.773453014219102,0.18162398931158918
0,2,6,38.3932697258851,57.159280957328,18.766011231442903,6,6,0,6.398878287647516,9.526546826221333,3.1276685385738165
0,2,7,46.31172888230051,41.40731825715969,-4.9044106251408195,6,6,0,7.718621480383418,6.901219709526615,-0.8174017708568035
0,2,8,40.44737525775759,53.9531837633852,13.505808505627606,6,6,0,6.741229209626265,8.992197293897533,2.2509680842712676
0,2,9,46.40471501096194,54.68510036314193,8.28038535217999,6,6,0,7.734119168493656,9.114183393856989,1.3800642253633324
0,2,10,54.63704232709952,50.89935551108198,-3.7376868160175434,6,6,0,9.106173721183254,8.483225918513662,-0.6229478026695912
0,2,11,52.29746469871318,47.4421224393955,-4.8553422593176805,6,6,0,8.716244116452197,7.907020406565916,-0.8092237098862807
0,2,12,44.1671884262409,52.69134980312952,8.524161376888621,6,6,0,7.36119807104015,8.78189163385492,1.4206935628147708
0,2,13,38.74684761207913,34.214790976760256,-4.532056635318874,6,6,0,6.457807935346522,5.702465162793376,-0.7553427725531456
0,2,14,40.36287241066622,44.06550631588538,3.702633905219159,6,6,0,6.727145401777704,7.3442510526475635,0.6171056508698598
0,2,15,59.05744580499939,32.336747078578824,-26.720698726420565,6,6,0,9.842907634166565,5.389457846429804,-4.453449787736761
0,2,16,41.315780018304544,48.52614228411436,7.210362265809813,6,6,0,6.885963336384091,8.087690380685727,1.2017270443016361
0,2,17,45.36465061833543,45.13481329675994,-0.22983732157549497,6,6,0,7.560775103055906,7.522468882793323,-0.03830622026258279
0,2,18,44.519281894553664,55.151396181062616,10.632114286508951,6,6,0,7.419880315758944,9.191899363510435,1.772019047751491
0,2,19,41.922835984054416,50.10841049340098,8.185574509346566,6,6,0,6.987139330675736,8.351401748900164,1.3642624182244285
0,3,0,52.07492791968328,16.60630048682038,-35.4686274328629,6,4,-2,8.679154653280547,4.151575121705095,-4.5275795315754515
0,3,1,37.75420950444165,29.66145199203993,-8.092757512401718,6,4,-2,6.2923682507402745,7.415362998009982,1.1229947472697077
0,3,2,59.10625743608603,15.090063030908825,-44.01619440517721,6,4,-2,9.851042906014339,3.772515757727206,-6.078527148287133
